url,title,price,Category
https://www.fnp.com/gift/friendship-day-pineapple-cake-2kg,Friendship Day Pineapple Cake,499,Cakes
https://www.fnp.com/gift/eggless-friendship-day-chocolate-cake-2kg,Friendship Day Chocolate Cake,599,Cakes
https://www.fnp.com/gift/friendship-day-chocolate-cake-1kg,Friendship Day Chocolate Cake,599,Cakes
https://www.fnp.com/gift/friendship-day-chocolate-cake-2kg,Friendship Day Chocolate Cake,599,Cakes
https://www.fnp.com/gift/holi-special-pichkari-chocolate-cake-1-kg,Holi Special Pichkari Cake,899,Cakes
https://www.fnp.com/gift/pichkari-gulal-strawberry-cake-15-kg-eggless,Pichkari & Gulal Cake,899,Cakes
https://www.fnp.com/gift/pichkari-gulal-pineapple-cake-15-kg-eggless,Pichkari & Gulal Cake,899,Cakes
https://www.fnp.com/gift/holi-special-pichkari-truffle-cake-15-kg,Holi Special Pichkari Cake,899,Cakes
https://www.fnp.com/gift/holi-special-pichkari-truffle-cake-15-kg-eggless,Holi Special Pichkari Cake,899,Cakes
https://www.fnp.com/gift/pichkari-gulal-butterscotch-cake-1-kg,Pichkari & Gulal Cake,899,Cakes
https://www.fnp.com/gift/best-dad-ever-photo-cake-vanilla-half-kg,Best Dad Ever Photo Cake,999,Cakes
https://www.fnp.com/gift/best-dad-ever-photo-cake-pineapple-1-kg-eggless,Best Dad Ever Photo Cake,999,Cakes
https://www.fnp.com/gift/best-dad-ever-photo-cake-pineapple-1-kg,Best Dad Ever Photo Cake,999,Cakes
https://www.fnp.com/gift/best-dad-ever-photo-cake-vanilla-2-kg,Best Dad Ever Photo Cake,999,Cakes
https://www.fnp.com/gift/turf-2-0-felt-desk-mat-mouse-pad-grey,Turf 2.0 Felt Desk Mat Mouse Pad - Grey,1899,Accessories
https://www.fnp.com/gift/turf-vegan-leather-desk-mat-tan,Turf Vegan Leather Desk Mat Tan,1649,Accessories
https://www.fnp.com/gift/rainbow-unicorn-chocolate-photo-cake-1-kg,Rainbow Unicorn Chocolate Photo Cake,899,Cakes
https://www.fnp.com/gift/magical-unicorn-chocolate-photo-cake-half-kg-eggless,Magical Unicorn Chocolate Photo Cake,899,Cakes
https://www.fnp.com/gift/magical-unicorn-chocolate-photo-cake-1-kg,Magical Unicorn Chocolate Photo Cake,899,Cakes
https://www.fnp.com/gift/magical-unicorn-chocolate-photo-cake-1-kg-eggless,Magical Unicorn Chocolate Photo Cake,899,Cakes
https://www.fnp.com/gift/dreamy-unicorn-chocolate-photo-cake-2-kg-eggless,Dreamy Unicorn Chocolate Photo Cake,899,Cakes
https://www.fnp.com/gift/new-year-2019-pineapple-cake-1kg,New Year Pineapple Cake,549,Cakes
https://www.fnp.com/gift/eggless-new-year-2019-chocolate-cake-2kg,New Year Chocolate Cake,625,Cakes
https://www.fnp.com/gift/holi-special-pineapple-cake-2kg-eggless,Holi Special Pineapple Cake,799,Cakes
https://www.fnp.com/gift/holi-special-pineapple-cake-1kg-eggless,Holi Special Pineapple Cake,799,Cakes
https://www.fnp.com/gift/friendship-day-truffle-cake-2kg,Friendship Day - Truffle Cake,549,Cakes
https://www.fnp.com/gift/eggless-friendship-day-butterscotch-cake-2kg,Friendship Day - Butterscotch Cake,549,Cakes
https://www.fnp.com/gift/eggless-friendship-day-butterscotch-cake-half-kg,Friendship Day - Butterscotch Cake,549,Cakes
https://www.fnp.com/gift/eggless-friendship-day-truffle-cake-2kg,Friendship Day - Truffle Cake,549,Cakes
https://www.fnp.com/gift/delicious-new-year-chocolate-cake-1-kg-eggless,Delicious New Year Cake,675,Cakes
https://www.fnp.com/gift/delicious-new-year-chocolate-cake-2-kg,Delicious New Year Cake,675,Cakes
https://www.fnp.com/gift/diya-pineapple-cake-1-kg-eggless,Diya Pineapple Cake,1225,Cakes
https://www.fnp.com/gift/clay-diyas-dreamy-butterscotch-cake-eggless-2-kg,Clay Diyas Dreamy Butterscotch Cake,1199,Error
https://www.fnp.com/gift/clay-diyas-dreamy-butterscotch-cake-eggless-half-kg,Clay Diyas Dreamy Butterscotch Cake,1199,Error
